Month (YYYY-MM),Total (Â£),Relevant URLs (space separated)
2011-01,58491254.48,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0711cd35-4b73-4727-885e-5c005f027024/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jan%2520to%2520Mar.csv
2011-02,67060353.65,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0711cd35-4b73-4727-885e-5c005f027024/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jan%2520to%2520Mar.csv
2011-03,95923004.58,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0711cd35-4b73-4727-885e-5c005f027024/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jan%2520to%2520Mar.csv
2011-04,61678269.76,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/a8ba8ad1-df56-456b-9d8e-7d6f784b2589/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Apr%2520to%2520Jun.csv
2011-05,90860530.68,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/a8ba8ad1-df56-456b-9d8e-7d6f784b2589/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Apr%2520to%2520Jun.csv
2011-06,99162325.84,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/a8ba8ad1-df56-456b-9d8e-7d6f784b2589/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Apr%2520to%2520Jun.csv
2011-07,61516419.15,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/d1e0e6ac-8205-4558-95a7-b1932659412b/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jul%2520to%2520Sep.csv
2011-08,53650381.85,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/d1e0e6ac-8205-4558-95a7-b1932659412b/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jul%2520to%2520Sep.csv
2011-09,68171592.13,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/d1e0e6ac-8205-4558-95a7-b1932659412b/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Jul%2520to%2520Sep.csv
2011-10,59094760.46,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0fa7e2da-88d7-4fa8-983f-e8e6da2ce191/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Oct%2520to%2520Dec.csv
2011-11,58321423.83,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0fa7e2da-88d7-4fa8-983f-e8e6da2ce191/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Oct%2520to%2520Dec.csv
2011-12,57052659.21,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0fa7e2da-88d7-4fa8-983f-e8e6da2ce191/Spend%2520over%2520%25C2%25A3250%2520-%25202011%2520Oct%2520to%2520Dec.csv
2012-01,83139765.03,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/275a5204-de27-4306-84cf-ace33e45b1c0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jan%2520to%2520Mar.csv
2012-02,50848467.28,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/275a5204-de27-4306-84cf-ace33e45b1c0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jan%2520to%2520Mar.csv
2012-03,58834603.72,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/275a5204-de27-4306-84cf-ace33e45b1c0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jan%2520to%2520Mar.csv
2012-04,109333758.09,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7299fcd2-482d-4fa9-8c2b-10689a43d4b1/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Apr%2520to%2520Jun.csv
2012-05,62231471.84,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7299fcd2-482d-4fa9-8c2b-10689a43d4b1/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Apr%2520to%2520Jun.csv
2012-06,45003882.84,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7299fcd2-482d-4fa9-8c2b-10689a43d4b1/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Apr%2520to%2520Jun.csv
2012-07,59922810.43,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/78522b08-4baf-4d14-9df9-5e6c599da3ff/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jul%2520to%2520Sep.csv
2012-08,54557092.66,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/78522b08-4baf-4d14-9df9-5e6c599da3ff/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jul%2520to%2520Sep.csv
2012-09,52835870.31,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/78522b08-4baf-4d14-9df9-5e6c599da3ff/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Jul%2520to%2520Sep.csv
2012-10,63971346.07,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/18e4a843-05d7-498f-9a77-779f0948aad0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Oct%2520to%2520Dec.csv
2012-11,52093981.12,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/18e4a843-05d7-498f-9a77-779f0948aad0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Oct%2520to%2520Dec.csv
2012-12,22368101.17,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/18e4a843-05d7-498f-9a77-779f0948aad0/Spend%2520over%2520%25C2%25A3250%2520-%25202012%2520Oct%2520to%2520Dec.csv
2013-01,56309002.86,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7c7e2ba9-a061-461f-b9b0-d2e0cc7732b5/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jan%2520to%2520Mar.csv
2013-02,74962364.11,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7c7e2ba9-a061-461f-b9b0-d2e0cc7732b5/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jan%2520to%2520Mar.csv
2013-03,58361752.70,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/7c7e2ba9-a061-461f-b9b0-d2e0cc7732b5/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jan%2520to%2520Mar.csv
2013-04,98079868.23,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0b0d2d95-c834-42cc-bc0d-fb11cd580266/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Apr%2520to%2520Jun.csv
2013-05,50101023.78,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0b0d2d95-c834-42cc-bc0d-fb11cd580266/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Apr%2520to%2520Jun.csv
2013-06,118638986.28,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/0b0d2d95-c834-42cc-bc0d-fb11cd580266/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Apr%2520to%2520Jun.csv
2013-07,46261377.98,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/de164c86-2f13-45b8-9847-3d9467f68681/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jul%2520to%2520Sep.csv
2013-08,57197916.71,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/de164c86-2f13-45b8-9847-3d9467f68681/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jul%2520to%2520Sep.csv
2013-09,53799916.56,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/de164c86-2f13-45b8-9847-3d9467f68681/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Jul%2520to%2520Sep.csv
2013-10,56483185.82,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/745a58cf-227f-4327-a589-afc8899ebbdb/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Oct%2520to%2520Dec.csv
2013-11,50511134.68,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/745a58cf-227f-4327-a589-afc8899ebbdb/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Oct%2520to%2520Dec.csv
2013-12,55754594.26,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/745a58cf-227f-4327-a589-afc8899ebbdb/Spend%2520over%2520%25C2%25A3250%2520-%25202013%2520Oct%2520to%2520Dec.csv
2014-01,65541259.93,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/b373d558-ad68-4000-a618-4de0781eb947/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jan%2520to%2520Mar.csv
2014-02,47010402.57,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/b373d558-ad68-4000-a618-4de0781eb947/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jan%2520to%2520Mar.csv
2014-03,73802728.98,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/b373d558-ad68-4000-a618-4de0781eb947/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jan%2520to%2520Mar.csv
2014-04,171313383.42,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/2de17f7f-83b3-4127-9330-03b005060366/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Apr%2520to%2520Jun.csv
2014-05,50782150.36,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/2de17f7f-83b3-4127-9330-03b005060366/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Apr%2520to%2520Jun.csv
2014-06,50999763.35,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/2de17f7f-83b3-4127-9330-03b005060366/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Apr%2520to%2520Jun.csv
2014-07,53797277.01,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/8cf8a6db-bc07-4112-8d39-f1b8c2e1307a/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jul%2520to%2520Sep.csv
2014-08,46382531.46,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/8cf8a6db-bc07-4112-8d39-f1b8c2e1307a/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jul%2520to%2520Sep.csv
2014-09,57981122.60,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/8cf8a6db-bc07-4112-8d39-f1b8c2e1307a/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Jul%2520to%2520Sep.csv
2014-10,64725402.64,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/87ffdaa3-7275-4282-8dbe-774e6ccd5a7d/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Oct%2520to%2520Dec.csv
2014-11,48826446.69,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/87ffdaa3-7275-4282-8dbe-774e6ccd5a7d/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Oct%2520to%2520Dec.csv
2014-12,60924812.00,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/87ffdaa3-7275-4282-8dbe-774e6ccd5a7d/Spend%2520over%2520%25C2%25A3250%2520-%25202014%2520Oct%2520to%2520Dec.csv
2015-01,80705990.71,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/07889c71-b1d5-4226-b8ad-c0dc7a584327/Spend%2520over%2520%25C2%25A3250%2520-%25202015%2520Jan%2520to%2520Mar.csv
2015-02,52798197.85,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/07889c71-b1d5-4226-b8ad-c0dc7a584327/Spend%2520over%2520%25C2%25A3250%2520-%25202015%2520Jan%2520to%2520Mar.csv
2015-03,77208712.08,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/07889c71-b1d5-4226-b8ad-c0dc7a584327/Spend%2520over%2520%25C2%25A3250%2520-%25202015%2520Jan%2520to%2520Mar.csv
2015-04,108589664.79,https://datamillnorth.org/download/sheffieldcitycouncil-spend-over-f250/45aa5e8a-bb59-4882-bb5d-1833c772cc76/Spend%2520over%2520%25C2%25A3250%2520-%25202015%2520Apr%2520to%2520Jun.csv
