203378	3876.15	91
221063	2126.86	207
210702	605.15	153
200137	876	13
206081	373.6	138
208594	240	145
214619	2555	162
202027	410.63	67
219386	7963.5	192
215590	2800	167
203079	7719.58	81
203892	1280	99
200571	137222.78	30
209084	12500	146
204222	2073.6	109
218751	260	188
200920	941.5	33
218269	1958	185
204759	2645	127
201017	3166.07	40
220756	900	202
202192	244.65	69
201592	570	54
224651	259	239
204221	5261.7	108
225644	37038.59	250
200202	675	17
208373	4015	143
203304	9185.38	87
203327	316.1	89
217118	6075	177
204630	1079.94	122
215737	6539.09	169
204114	209	104
224239	672	235
204340	375	112
201135	10410.22	43
205680	626.5	135
203993	954	101
200290	827.29	23
205479	3784.01	133
200197	214	16
216600	817	175
213805	411.67	159
225622	950	249
222606	340	220
202024	1832	66
203101	1611.7	82
224799	1432	242
225734	1749	252
222270	8820	217
201837	450	63
203881	306	98
203050	1271.17	78
203252	924.5	85
222988	1120	223
200452	2365	28
225830	600	255
200304	1275	24
200249	11713.21	21
200164	350	14
204118	8898.27	105
220977	560	205
223209	3288.6	227
223750	980	232
205946	452.1	137
212602	585	156
223831	1641.57	233
216424	5023.99	172
208465	2135.77	144
201136	218.59	44
203581	2560	93
203307	1404.86	88
203662	628.94	95
221674	1250	209
216588	1577.16	174
201649	287.09	56
200226	3470.88	19
201599	1543.06	55
200997	920	35
224697	1092.26	240
204471	926.4	113
201434	9000	52
219154	600	191
220920	455	204
209930	1377.6	149
223395	1295	228
215028	18430.68	164
204620	3860.83	120
201015	911.24	39
204093	404.84	103
204899	17483	131
200591	9091.08	31
217576	331.92	178
223502	20587.34	229
205895	3912.43	136
201011	1268.96	37
225842	1056	257
201390	19403.04	50
203955	1038	100
215684	2492.55	168
220266	275	198
200267	675	22
201726	447.3	58
204774	418.78	128
225540	13594	248
225816	956.38	254
204610	236.5	118
200227	7470.19	20
201056	6482.45	42
222199	2529.8	216
202796	1025.95	72
224523	795	237
221897	510	213
201012	3377.43	38
204639	4974.21	124
204625	422.21	121
222505	376.35	219
207220	1564	142
201835	33258.84	62
225385	1895.78	246
204616	1284.99	119
214640	935.55	163
220767	23179.16	203
216216	2200	171
209888	4224	148
220141	475	197
221800	651	211
217912	1753.7	182
204675	5235	126
201803	600	59
216817	720	176
218843	1418	189
202544	3260	71
218682	875	187
200446	295.19	27
201866	1750	64
225427	450	247
223540	12939.83	230
200354	10341.03	25
222628	5328	221
201034	360	41
201300	11471.95	48
219599	351	194
201804	490	60
201655	317.16	57
202831	1189.24	74
215115	10820	165
218087	406	183
206322	12670	139
204635	3501	123
204168	1738	107
206653	853	140
203672	2320	96
225336	11009.05	245
224777	225	241
204528	15332.98	116
204918	1822	132
201227	620	47
200207	555	18
210807	888	154
204796	404.73	130
225771	1531.3	253
217902	225	181
224546	39709.53	238
218268	902.21	184
210480	920.5	152
217747	400	180
200823	270	32
223128	6522	224
225235	315	244
203217	1444.57	84
203024	44099.14	77
201951	960	65
202998	239.94	76
212906	245	157
201312	3660.11	49
218297	77304.6	186
200467	514.18	29
202879	1262	75
221017	2308.5	206
219970	640.95	196
221925	4300	214
204514	703.9	115
223199	307.36	226
216580	23768.03	173
201423	780.4	51
218889	850.5	190
221986	1265	215
210039	798	150
213820	2053.59	160
204317	15799.72	111
221812	267.95	212
220373	1404	199
215455	930	166
23RD HARROGATE SCOUT GROUP	1000	258
214296	232.43	161
222498	1120	218
211810	7811.8	155
206809	1452	141
223146	700	225
202280	2368.66	70
224155	15677	234
210367	537	151
203267	1000	86
220582	1344.6	200
220730	2275	201
215955	4325	170
202040	750	68
202824	2777.49	73
204787	5742.48	129
221757	710	210
203403	218.76	92
204482	301.19	114
200407	338.5	26
204023	1050	102
223637	9190	231
201826	365.2	61
222892	2745	222
201009	880	36
205549	3250	134
201151	266	45
204120	1380	106
204645	1983.33	125
203116	4250	83
204607	1237.07	117
219788	580	195
225833	529.99	256
225136	573.5	243
204247	7317.32	110
200964	210	34
221478	11861.52	208
203364	4297.57	90
203623	439.45	94
217589	2755	179
225709	6445	251
224353	24000	236
201170	504	46
203072	427.72	79
201548	15633.67	53
200185	913.5	15
209814	2200	147
219417	5120	193
213227	470.7	158
203074	1838.85	80
203872	400	97
