Month (YYYY-MM),Total (Â£),Relevant URLs (space separated)
2014-04,26937337.78,
2014-05,28111464.38,
2014-06,72451637.25,
2014-07,30162625.32,
2014-08,35741476.43,
2014-09,32401562.28,
2014-10,31432862.79,
2014-11,28137979.65,
2014-12,37618327.59,
2015-01,32258911.77,
2015-02,33563799.77,
2015-03,34754766.15,
2015-04,33231258.04,
2015-05,31123404.61,
2015-06,48447627.85,
2015-07,41189762.68,
2015-08,32865795.61,
2015-09,58070659.85,
2015-10,35629856.71,
2015-11,34709030.73,
2015-12,43812317.20,
2016-01,33770719.46,
2016-02,35110357.86,
2016-03,41793353.08,
2016-04,29373675.20,
2016-05,42088927.77,
2016-06,57303649.45,
2016-07,37657395.48,
2016-08,36144656.93,
2016-09,35631865.93,
2016-10,32059621.40,
2016-11,36040177.19,
2016-12,33627476.59,
2017-01,34829723.54,
2017-02,33607722.42,
2017-03,73478262.12,
2017-04,0.00,
2017-05,0.00,
2017-06,0.00,
2017-07,0.00,
2017-08,0.00,
2017-09,0.00,
2017-10,0.00,
2017-11,0.00,
2017-12,0.00,
2018-01,0.00,
2018-02,0.00,
2018-03,0.00,
2018-04,0.00,
2018-05,0.00,
2018-06,0.00,
2018-07,0.00,
2018-08,0.00,
2018-09,0.00,
2018-10,0.00,
2018-11,0.00,
2018-12,0.00,
2019-01,0.00,
2019-02,0.00,
2019-03,0.00,
2019-04,32426795.19,https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Invoices%20over%20250%20-%20APR-19.csv https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Purchase%20Card%20Over%20250%20-%20Apr%2019.csv
2019-05,32773123.34,https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Invoices%20over%20250%20-%20May19%20.xls%20to%20publish.csv https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Purchase%20Card%20Over%20250%20-%20May%2019%20to%20be%20published.csv
2019-06,40164388.27,https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Invoices%20over%20250%20-%20JUN%2019.csv https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Purchase%20Card%20Over%20250%20-%20JUN%2019.csv
2019-07,0.00,
