Month (YYYY-MM),Total (Â£),Relevant URLs (space separated)
2009-09,8.33,https://www.calderdale.gov.uk/council/finances/income-spending/2019/December-card-payments.csv
2009-10,0.00,
2009-11,0.00,
2009-12,0.00,
2010-01,0.00,
2010-02,0.00,
2010-03,0.00,
2010-04,0.00,
2010-05,0.00,
2010-06,0.00,
2010-07,0.00,
2010-08,0.00,
2010-09,999.84,https://www.calderdale.gov.uk/council/finances/income-spending/2015/April-card-payments.csv
2010-10,24693456.68,https://www.calderdale.gov.uk/council/finances/income-spending/2010/October.csv
2010-11,25200829.71,https://www.calderdale.gov.uk/council/finances/income-spending/2010/November.csv
2010-12,25846169.18,https://www.calderdale.gov.uk/council/finances/income-spending/2010/December.csv
2011-01,22034604.77,https://www.calderdale.gov.uk/council/finances/income-spending/2011/January.csv
2011-02,24218903.41,https://www.calderdale.gov.uk/council/finances/income-spending/2011/February.csv
2011-03,30145192.15,https://www.calderdale.gov.uk/council/finances/income-spending/2011/March.csv
2011-04,22573998.66,https://www.calderdale.gov.uk/council/finances/income-spending/2011/April.csv
2011-05,27224842.13,https://www.calderdale.gov.uk/council/finances/income-spending/2011/May.csv
2011-06,26856269.17,https://www.calderdale.gov.uk/council/finances/income-spending/2011/June.csv
2011-07,23280876.99,https://www.calderdale.gov.uk/council/finances/income-spending/2011/July.csv
2011-08,25935203.69,https://www.calderdale.gov.uk/council/finances/income-spending/2011/August.csv
2011-09,24816974.85,https://www.calderdale.gov.uk/council/finances/income-spending/2011/September.csv
2011-10,21872598.61,https://www.calderdale.gov.uk/council/finances/income-spending/2011/October.csv
2011-11,22587383.08,https://www.calderdale.gov.uk/council/finances/income-spending/2011/November.csv
2011-12,24395703.46,https://www.calderdale.gov.uk/council/finances/income-spending/2011/December.csv
2012-01,22417832.17,https://www.calderdale.gov.uk/council/finances/income-spending/2012/January.csv
2012-02,21735471.53,https://www.calderdale.gov.uk/council/finances/income-spending/2012/February.csv
2012-03,23938624.01,https://www.calderdale.gov.uk/council/finances/income-spending/2012/March.csv
2012-04,28768382.85,https://www.calderdale.gov.uk/council/finances/income-spending/2012/April.csv
2012-05,24835953.49,https://www.calderdale.gov.uk/council/finances/income-spending/2012/May.csv
2012-06,20725061.32,https://www.calderdale.gov.uk/council/finances/income-spending/2012/June.csv
2012-07,24374952.20,https://www.calderdale.gov.uk/council/finances/income-spending/2012/July.csv
2012-08,22230974.30,https://www.calderdale.gov.uk/council/finances/income-spending/2012/August.csv
2012-09,22239596.45,https://www.calderdale.gov.uk/council/finances/income-spending/2012/September.csv
2012-10,19603151.26,https://www.calderdale.gov.uk/council/finances/income-spending/2012/October.csv
2012-11,21317613.34,https://www.calderdale.gov.uk/council/finances/income-spending/2012/November.csv https://www.calderdale.gov.uk/council/finances/income-spending/2018/July-card-payments.csv
