Month (YYYY-MM),Total (Â£),Relevant URLs (space separated)
2010-12,64595841.84,http://www.manchester.gov.uk/open/download/downloads/id/187/expenditure_exceeding_500_dec_2010.csv
2011-01,52783450.50,http://www.manchester.gov.uk/open/download/downloads/id/98/expenditure_exceeding_500_jan_2011.csv
2011-02,55679614.98,http://www.manchester.gov.uk/open/download/downloads/id/102/expenditure_exceeding_500_feb_2011.csv
2011-03,74186088.74,http://www.manchester.gov.uk/open/download/downloads/id/100/expenditure_exceeding_500_mar_2011.csv
2011-04,46767400.51,http://www.manchester.gov.uk/open/download/downloads/id/105/expenditure_exceeding_500_apr_2011.csv
2011-05,118093360.07,http://www.manchester.gov.uk/open/download/downloads/id/106/expenditure_exceeding_500_may_2011.csv
2011-06,104910376.35,http://www.manchester.gov.uk/open/download/downloads/id/107/expenditure_exceeding_500_jun_2011.csv
2011-07,58711247.82,http://www.manchester.gov.uk/open/download/downloads/id/108/expenditure_exceeding_500_jul_2011.csv
2011-08,45711669.21,http://www.manchester.gov.uk/open/download/downloads/id/103/expenditure_exceeding_500_aug_2011.csv
2011-09,57876204.43,http://www.manchester.gov.uk/open/download/downloads/id/110/expenditure_exceeding_500_sep_2011.csv
2011-10,37078634.53,http://www.manchester.gov.uk/open/download/downloads/id/109/expenditure_exceeding_500_oct_2011.csv
2011-11,60953174.21,http://www.manchester.gov.uk/open/download/downloads/id/104/expenditure_exceeding_500_dec_2011.csv http://www.manchester.gov.uk/open/download/downloads/id/111/expenditure_exceeding_500_nov_2011.csv
2011-12,57587890.72,http://www.manchester.gov.uk/open/download/downloads/id/104/expenditure_exceeding_500_dec_2011.csv
2012-01,49706574.91,http://www.manchester.gov.uk/open/download/downloads/id/188/expenditure_exceeding_500_jan_2012.csv
2012-02,43381438.13,http://www.manchester.gov.uk/open/download/downloads/id/189/expenditure_exceeding_500_feb_2012.csv
2012-03,128718236.38,http://www.manchester.gov.uk/open/download/downloads/id/189/expenditure_exceeding_500_feb_2012.csv http://www.manchester.gov.uk/open/download/downloads/id/190/expenditure_exceeding_500_mar_2012.csv
2012-04,50323466.18,http://www.manchester.gov.uk/open/download/downloads/id/114/expenditure_exceeding_500_apr_2012.csv
2012-05,50624262.00,http://www.manchester.gov.uk/open/download/downloads/id/123/expenditure_exceeding_500_may_2012.csv
2012-06,44607642.15,http://www.manchester.gov.uk/open/download/downloads/id/194/expenditure_exceeding_500_jun_2012.csv
2012-07,45093397.53,http://www.manchester.gov.uk/open/download/downloads/id/116/expenditure_exceeding_500_jul_2012.csv http://www.manchester.gov.uk/open/download/downloads/id/194/expenditure_exceeding_500_jun_2012.csv
2012-08,41276884.21,http://www.manchester.gov.uk/open/download/downloads/id/113/expenditure_exceeding_500_aug_2012.csv
2012-09,50640146.76,http://www.manchester.gov.uk/open/download/downloads/id/128/expenditure_exceeding_500_sep_2012.csv
2012-10,45489048.75,http://www.manchester.gov.uk/open/download/downloads/id/127/expenditure_exceeding_500_oct_2012.csv
2012-11,49029412.23,http://www.manchester.gov.uk/open/download/downloads/id/125/expenditure_exceeding_500_nov_2012.csv http://www.manchester.gov.uk/open/download/downloads/id/127/expenditure_exceeding_500_oct_2012.csv
2012-12,46260672.24,http://www.manchester.gov.uk/open/download/downloads/id/112/expenditure_exceeding_500_dec_2012.csv
2013-01,53455516.65,http://www.manchester.gov.uk/open/download/downloads/id/191/expenditure_exceeding_500_jan_2013.csv
2013-02,43192996.58,http://www.manchester.gov.uk/open/download/downloads/id/192/expenditure_exceeding_500_feb_2013.csv
2013-03,40024575.22,http://www.manchester.gov.uk/open/download/downloads/id/193/expenditure_exceeding_500_mar_2013.csv
2013-04,52619810.25,http://www.manchester.gov.uk/open/download/downloads/id/131/expenditure_exceeding_500_apr_2013.csv
2013-05,71422885.77,http://www.manchester.gov.uk/open/download/downloads/id/138/expenditure_exceeding_500_may_2013.csv
2013-06,67265988.53,http://www.manchester.gov.uk/open/download/downloads/id/135/expenditure_exceeding_500_jun_2013.csv
2013-07,49182716.06,http://www.manchester.gov.uk/open/download/downloads/id/133/expenditure_exceeding_500_july_2013.csv
2013-08,80710068.18,http://www.manchester.gov.uk/open/download/downloads/id/130/expenditure_exceeding_500_aug_2013.csv
2013-09,58850123.69,http://www.manchester.gov.uk/open/download/downloads/id/139/expenditure_exceeding_500_sep_2013.csv
2013-10,75581553.74,http://www.manchester.gov.uk/open/download/downloads/id/140/expenditure_exceeding_500_oct_2013.csv
2013-11,76505856.16,http://www.manchester.gov.uk/open/download/downloads/id/137/expenditure_exceeding_500_nov_2013.csv
2013-12,65973988.61,http://www.manchester.gov.uk/open/download/downloads/id/129/expenditure_exceeding_500_dec_2013.csv
2014-01,81114908.28,http://www.manchester.gov.uk/open/download/downloads/id/195/expenditure_exceeding_500_jan_2014.csv
2014-02,57751339.55,http://www.manchester.gov.uk/open/download/downloads/id/196/expenditure_exceeding_500_feb_2014.csv
2014-03,79659084.40,http://www.manchester.gov.uk/open/download/downloads/id/197/expenditure_exceeding_500_mar_2014.csv
2014-04,51428245.65,http://www.manchester.gov.uk/open/download/downloads/id/141/expenditure_exceeding_500_apr_2014.csv
2014-05,71108164.55,http://www.manchester.gov.uk/open/download/downloads/id/145/expenditure_exceeding_500_may_2014.csv
2014-06,82920543.70,http://www.manchester.gov.uk/open/download/downloads/id/147/expenditure_exceeding_500_jun_2014.csv
2014-07,81315010.91,http://www.manchester.gov.uk/open/download/downloads/id/146/expenditure_exceeding_500_jul_2014.csv
2014-08,81176329.42,http://www.manchester.gov.uk/open/download/downloads/id/142/expenditure_exceeding_500_aug_2014.csv
2014-09,74604186.13,http://www.manchester.gov.uk/open/download/downloads/id/162/expenditure_exceeding_500_sep_2014.csv
2014-10,70442395.86,http://www.manchester.gov.uk/open/download/downloads/id/164/expenditure_exceeding_500_oct_2014.csv
2014-11,71040912.94,http://www.manchester.gov.uk/open/download/downloads/id/183/expenditure_exceeding_500_nov_2014.csv
2014-12,78557629.87,http://www.manchester.gov.uk/open/download/downloads/id/184/expenditure_exceeding_500_dec_2014.csv
2015-01,64522360.51,http://www.manchester.gov.uk/open/download/downloads/id/185/expenditure_exceeding_500_jan_2015.csv
2015-02,45383105.47,http://www.manchester.gov.uk/open/download/downloads/id/177/expenditure_exceeding_500_feb_2015.csv
2015-03,67350209.32,http://www.manchester.gov.uk/open/download/downloads/id/186/expenditure_exceeding_500_mar_2015.csv
2015-04,67280958.15,http://www.manchester.gov.uk/open/download/downloads/id/199/expenditure_exceeding_500_april_2015.csv
2015-05,83811753.70,http://www.manchester.gov.uk/open/download/downloads/id/198/expenditure_exceeding_500_may_2015.csv
2015-06,70076695.42,http://www.manchester.gov.uk/open/download/downloads/id/202/expenditure_exceeding_500_june_2015.csv
2015-07,72134868.22,http://www.manchester.gov.uk/open/download/downloads/id/203/expenditure_exceeding_500_july_2015.csv
2015-08,57991228.70,http://www.manchester.gov.uk/open/download/downloads/id/208/expenditure_exceeding_500_august_2015.csv
2015-09,64237631.94,http://www.manchester.gov.uk/open/download/downloads/id/209/expenditure_exceeding_500_september_2015.csv
2015-10,56786182.91,http://www.manchester.gov.uk/open/download/downloads/id/210/expenditure_exceeding_500_october_2015.csv
2015-11,52367805.51,http://www.manchester.gov.uk/open/download/downloads/id/211/expenditure_exceeding_500_november_2015.csv
2015-12,62674018.53,http://www.manchester.gov.uk/open/download/downloads/id/214/expenditure_exceeding_500_december_2015.csv
2016-01,65717271.68,http://www.manchester.gov.uk/open/download/downloads/id/217/expenditure_exceeding_500_january_2016.csv
2016-02,62402912.44,http://www.manchester.gov.uk/open/download/downloads/id/230/expenditure_exceeding_500_february_2016.csv
2016-03,100577746.93,http://www.manchester.gov.uk/open/download/downloads/id/243/expenditure_exceeding_500_march_2016.csv
2016-04,59664005.60,http://www.manchester.gov.uk/open/download/downloads/id/258/expenditure_exceeding_500_april_2016.csv
2016-05,80759426.69,http://www.manchester.gov.uk/open/download/downloads/id/259/expenditure_exceeding_500_may_2016.csv
2016-06,61452942.78,http://www.manchester.gov.uk/open/download/downloads/id/260/expenditure_exceeding_500_june_2016.csv
2016-07,74613034.20,http://www.manchester.gov.uk/open/download/downloads/id/261/expenditure_exceeding_500_july_2016.csv
2016-08,65341482.08,http://www.manchester.gov.uk/open/download/downloads/id/269/expenditure_exceeding_500_august_2016.csv
2016-09,59082373.50,http://www.manchester.gov.uk/open/download/downloads/id/277/expenditure_exceeding_500_september_2016.csv
