Month (YYYY-MM),Total (£),Relevant URLs (space separated)
2011-12,87405204.36,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A35%3A11/spending_2012_01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A42%3A05/spending_2011_12.csv
2012-01,77103404.45,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A29%3A11/spending_2012_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A35%3A11/spending_2012_01.csv
2012-02,54774038.92,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A22%3A50/spending_2012_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A29%3A11/spending_2012_02.csv
2012-03,77441988.50,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A17%3A00/spending_2012_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A22%3A50/spending_2012_03.csv
2012-04,77470188.29,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A53%3A52/spending_2012_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-23T15%3A17%3A00/spending_2012_04.csv
2012-05,77710941.19,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A46%3A10/spending_2012_06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A53%3A52/spending_2012_05.csv
2012-06,79037152.34,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A31%3A38/spending_2012_07.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A46%3A10/spending_2012_06.csv
2012-07,75198380.17,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A37%3A32/spending_2012_08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T15%3A31%3A38/spending_2012_07.csv
2012-08,82628887.94,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A31%3A30/spending_2012_09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A37%3A32/spending_2012_08.csv
2012-09,76352928.90,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A25%3A08/spending_2012_10.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A31%3A30/spending_2012_09.csv
2012-10,69590220.05,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A19%3A24/spending_2012_11.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A25%3A08/spending_2012_10.csv
2012-11,74119389.55,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A13%3A35/spending_2012_12.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A19%3A24/spending_2012_11.csv
2012-12,73572569.84,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A28%3A30/spending_2013_01.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T14%3A13%3A35/spending_2012_12.csv
2013-01,62263357.12,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A16%3A15/spending_2013_02.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A28%3A30/spending_2013_01.csv
