Month (YYYY-MM),Total (£),Relevant URLs (space separated)
2015-04,3073930.37,https://www.harrogate.gov.uk/downloads/id/989/2015_april_supplier_spend_-_csv_file.csv
2015-05,2498339.55,https://www.harrogate.gov.uk/downloads/id/982/2015_may_supplier_spend_-_csv_file.csv
2015-06,1997937.87,https://www.harrogate.gov.uk/downloads/id/984/2015_june_supplier_spend_-_csv_file.csv
2015-07,3059945.77,https://www.harrogate.gov.uk/downloads/id/985/2015_july_supplier_spend_-_csv_file.csv
2015-08,1250087.33,https://www.harrogate.gov.uk/downloads/id/991/2015_august_supplier_spend_-_csv_file.csv
2015-09,2109460.22,https://www.harrogate.gov.uk/downloads/id/980/2015_september_supplier_spend_-_csv_file.csv
2015-10,2309633.67,https://www.harrogate.gov.uk/downloads/id/979/2015_october_supplier_spend_-_csv_file.csv
2015-11,1726980.29,https://www.harrogate.gov.uk/downloads/id/977/2015_november_supplier_spend_-_csv_file.csv
2015-12,2215418.00,https://www.harrogate.gov.uk/downloads/id/974/2015_december_supplier_spend_-_csv_file.csv
2016-01,1197038.05,https://www.harrogate.gov.uk/downloads/id/972/2016_january_supplier_spend_-_csv_file.csv
2016-02,1951097.84,https://www.harrogate.gov.uk/downloads/id/969/2016_february_supplier_spend_-_csv_file.csv
2016-03,2152617.00,https://www.harrogate.gov.uk/downloads/id/968/2016_march_supplier_spend_-_csv_file.csv
2016-04,2328593.20,
2016-05,2066474.26,https://www.harrogate.gov.uk/downloads/id/1277/2016_may_supplier_spend_-_csv_file.csv
2016-06,1303768.98,https://www.harrogate.gov.uk/downloads/id/1585/2016_june_supplier_spend_-_csv_file.csv
2016-07,1615800.00,https://www.harrogate.gov.uk/downloads/id/1647/2016_july_supplier_spend_-_csv_file.csv
2016-08,2048327.00,https://www.harrogate.gov.uk/downloads/id/1744/2016_august_supplier_spend_-_csv_file.csv
2016-09,1751205.89,https://www.harrogate.gov.uk/downloads/id/1836/2016_september_supplier_spend_-_csv_file.csv
2016-10,2782005.60,https://www.harrogate.gov.uk/downloads/id/2165/2016_october_supplier_spend_-_csv_file.csv
2016-11,1248093.83,https://www.harrogate.gov.uk/downloads/id/2223/2016_november_supplier_spend_-_csv_file.csv
2016-12,1108651.20,https://www.harrogate.gov.uk/downloads/id/2270/2016_december_supplier_spend_-_csv_file.csv
2017-01,2006780.88,https://www.harrogate.gov.uk/downloads/id/2355/2017_january_supplier_spend_-_csv_file.csv
2017-02,1834336.64,https://www.harrogate.gov.uk/downloads/id/2444/2017_february_supplier_spend_-_csv_file.csv
2017-03,2210897.97,https://www.harrogate.gov.uk/downloads/id/2540/2017_march_supplier_spend_-_csv_file.csv
2017-04,1965769.93,https://www.harrogate.gov.uk/downloads/id/2629/2017_april_supplier_spend_-_csv_file.csv
2017-05,2790974.53,https://www.harrogate.gov.uk/downloads/id/2675/2017_may_supplier_spend_-_csv_file.csv
2017-06,1217070.95,https://www.harrogate.gov.uk/downloads/id/2807/2017_june_supplier_spend_-_csv_file.csv
2017-07,1927989.16,https://www.harrogate.gov.uk/downloads/id/2804/2017_july_supplier_spend_-_csv_file.csv
2017-08,1485977.08,https://www.harrogate.gov.uk/downloads/id/2873/2017_august_supplier_spend_-_csv_file.csv
2017-09,2928874.26,https://www.harrogate.gov.uk/downloads/id/2986/2017_september_supplier_spend_-_csv_document.csv
2017-10,3184854.98,https://www.harrogate.gov.uk/downloads/id/3058/2017_october_supplier_spend_-_csv_file.csv
2017-11,3048177.14,https://www.harrogate.gov.uk/downloads/id/3146/2017_november_supplier_spend_-_csv_file.csv
2017-12,1650348.23,https://www.harrogate.gov.uk/downloads/id/3234/2017_december_supplier_spend_-_csv_file.csv
2018-01,2972918.51,https://www.harrogate.gov.uk/downloads/id/3457/2018_january_supplier_spend_-_csv_file.csv
2018-02,1861800.46,https://www.harrogate.gov.uk/downloads/id/3521/2018_february_supplier_spend_-_csv_file.csv
2018-03,3097588.22,https://www.harrogate.gov.uk/downloads/id/3776/2018_march_supplier_spend_-_csv_file.csv
2018-04,3118578.40,https://www.harrogate.gov.uk/downloads/id/5081/2018_april_supplier_spend_-_csv_file.csv
2018-05,3376069.89,https://www.harrogate.gov.uk/downloads/id/5092/2018_may_supplier_spend_-_csv_file.csv
2018-06,2572274.24,https://www.harrogate.gov.uk/downloads/id/5090/2018_june_supplier_spend_-_csv_file.csv
2018-07,3193480.82,https://www.harrogate.gov.uk/downloads/id/5093/2018_july_supplier_spend_-_csv_file.csv
2018-08,2537611.47,https://www.harrogate.gov.uk/downloads/id/5091/2018_august_supplier_spend_-_csv_file.csv
2018-09,2388005.20,https://www.harrogate.gov.uk/downloads/id/5094/2018_september_supplier_spend_-_csv_file.csv
2018-10,3845710.85,https://www.harrogate.gov.uk/downloads/id/5089/2018_october_supplier_spend_-_csv_file.csv
2018-11,3043543.97,https://www.harrogate.gov.uk/downloads/id/5088/2018_november_supplier_spend_-_csv_file.csv
2018-12,2661310.37,https://www.harrogate.gov.uk/downloads/id/5082/2018_december_supplier_spend_-_csv_file.csv
2019-01,2039624.44,https://www.harrogate.gov.uk/downloads/id/5068/2019_january_supplier_spend_-_csv_file.csv
2019-02,2217197.27,https://www.harrogate.gov.uk/downloads/id/5069/2019_february_supplier_spend_-_csv_file.csv
2019-03,3494558.54,https://www.harrogate.gov.uk/downloads/id/5070/2019_march_supplier_spend_-_csv_file.csv
2019-04,4272493.93,https://www.harrogate.gov.uk/downloads/id/5142/2019_april_supplier_spend_-_csv_file.csv
2019-05,3250345.29,https://www.harrogate.gov.uk/downloads/id/5233/2019_may_supplier_spend_-_csv_file.csv
2019-06,2661170.17,https://www.harrogate.gov.uk/downloads/id/5283/2019_june_supplier_spend_-_csv_file.csv
2019-07,3751830.28,https://www.harrogate.gov.uk/downloads/id/5328/2019_july_supplier_spend_-_csv_file.csv
2019-08,2334239.42,https://www.harrogate.gov.uk/downloads/id/5364/2019_august_supplier_spend_-_csv_file.csv
2019-09,3400299.41,https://www.harrogate.gov.uk/downloads/id/5381/2019_september_supplier_spend_-_csv_file.csv
2019-10,3747478.13,https://www.harrogate.gov.uk/downloads/id/5412/2019_october_supplier_spend_-_csv_file.csv
2019-11,2799966.01,https://www.harrogate.gov.uk/downloads/id/5446/2019_november_supplier_spend_-_csv_file.csv
2019-12,2940886.90,https://www.harrogate.gov.uk/downloads/id/5464/2019_december_supplier_spend_-_csv_file.csv
2020-01,3576792.35,https://www.harrogate.gov.uk/downloads/id/5486/2020_january_supplier_spend_-_csv_file.csv
2020-02,3170712.56,https://www.harrogate.gov.uk/downloads/id/5528/2020_february_supplier_spend_-_csv_document.csv
2020-03,3766963.65,https://www.harrogate.gov.uk/downloads/id/5569/2020_march_supplier_spend_-_csv_file.csv
2020-04,4976476.71,https://www.harrogate.gov.uk/downloads/id/6257/2020_april_supplier_spend_-_csv_file.csv
2020-05,2084967.20,https://www.harrogate.gov.uk/downloads/id/6296/2020_may_supplier_spend_-_csv_file.csv
2020-06,2879913.33,https://www.harrogate.gov.uk/downloads/id/6337/2020_june_supplier_spend_-_csv_file.csv
